time,value
1.840000000000000000e+03,8.919441986083984375e+01
1.841000000000000000e+03,1.013369216918945312e+02
1.842000000000000000e+03,8.602606201171875000e+01
1.843000000000000000e+03,8.238269805908203125e+01
1.844000000000000000e+03,8.489349365234375000e+01
1.845000000000000000e+03,9.292125701904296875e+01
1.846000000000000000e+03,1.000441284179687500e+02
1.847000000000000000e+03,1.034259796142578125e+02
1.848000000000000000e+03,9.502874755859375000e+01
1.849000000000000000e+03,1.041891098022460938e+02
1.850000000000000000e+03,8.081938171386718750e+01
1.851000000000000000e+03,9.455943298339843750e+01
1.852000000000000000e+03,9.159953308105468750e+01
1.853000000000000000e+03,9.081287384033203125e+01
1.854000000000000000e+03,9.209624481201171875e+01
1.855000000000000000e+03,9.134886932373046875e+01
1.856000000000000000e+03,9.273451232910156250e+01
1.857000000000000000e+03,9.117643737792968750e+01
1.858000000000000000e+03,9.107230377197265625e+01
1.859000000000000000e+03,8.579981231689453125e+01
1.860000000000000000e+03,8.285120391845703125e+01
1.861000000000000000e+03,8.680399322509765625e+01
1.862000000000000000e+03,9.614585876464843750e+01
1.863000000000000000e+03,9.007882690429687500e+01
1.864000000000000000e+03,9.926596832275390625e+01
1.865000000000000000e+03,1.016928558349609375e+02
1.866000000000000000e+03,8.432955932617187500e+01
1.867000000000000000e+03,7.895926666259765625e+01
1.868000000000000000e+03,7.431527709960937500e+01
1.869000000000000000e+03,8.957137298583984375e+01
1.870000000000000000e+03,9.548319244384765625e+01
1.871000000000000000e+03,9.024825286865234375e+01
1.872000000000000000e+03,9.356359100341796875e+01
1.873000000000000000e+03,8.999634552001953125e+01
1.874000000000000000e+03,7.526383209228515625e+01
1.875000000000000000e+03,8.219495391845703125e+01
1.876000000000000000e+03,9.138212585449218750e+01
1.877000000000000000e+03,9.899024200439453125e+01
1.878000000000000000e+03,8.620603942871093750e+01
1.879000000000000000e+03,8.975091552734375000e+01
1.880000000000000000e+03,9.126416015625000000e+01
1.881000000000000000e+03,9.286866760253906250e+01
1.882000000000000000e+03,8.701194000244140625e+01
1.883000000000000000e+03,8.652791595458984375e+01
1.884000000000000000e+03,8.018777465820312500e+01
1.885000000000000000e+03,8.309571075439453125e+01
1.886000000000000000e+03,8.691801452636718750e+01
1.887000000000000000e+03,9.308570098876953125e+01
1.888000000000000000e+03,8.981177520751953125e+01
1.889000000000000000e+03,9.576217651367187500e+01
1.890000000000000000e+03,8.054406738281250000e+01
1.891000000000000000e+03,8.253961181640625000e+01
1.892000000000000000e+03,8.345960998535156250e+01
1.893000000000000000e+03,8.379911041259765625e+01
1.894000000000000000e+03,7.994387817382812500e+01
1.895000000000000000e+03,9.760361480712890625e+01
1.896000000000000000e+03,8.876059722900390625e+01
1.897000000000000000e+03,9.944194030761718750e+01
1.898000000000000000e+03,9.070494079589843750e+01
1.899000000000000000e+03,8.026093292236328125e+01
1.900000000000000000e+03,8.618599700927734375e+01
1.901000000000000000e+03,8.608752441406250000e+01
1.902000000000000000e+03,9.089637756347656250e+01
1.903000000000000000e+03,8.507001495361328125e+01
1.904000000000000000e+03,8.058739471435546875e+01
1.905000000000000000e+03,8.399115753173828125e+01
1.906000000000000000e+03,9.260306549072265625e+01
1.907000000000000000e+03,7.000925445556640625e+01
1.908000000000000000e+03,8.888363647460937500e+01
1.909000000000000000e+03,9.481685638427734375e+01
1.910000000000000000e+03,8.533520507812500000e+01
1.911000000000000000e+03,9.324630737304687500e+01
1.912000000000000000e+03,8.682687377929687500e+01
1.913000000000000000e+03,9.005037689208984375e+01
1.914000000000000000e+03,8.797187805175781250e+01
1.915000000000000000e+03,7.805581665039062500e+01
1.916000000000000000e+03,8.030235290527343750e+01
1.917000000000000000e+03,9.673368835449218750e+01
1.918000000000000000e+03,9.409871673583984375e+01
1.919000000000000000e+03,9.314035797119140625e+01
1.920000000000000000e+03,9.287483978271484375e+01
1.921000000000000000e+03,9.699944305419921875e+01
1.922000000000000000e+03,8.275795745849609375e+01
1.923000000000000000e+03,8.867469024658203125e+01
1.924000000000000000e+03,9.554522705078125000e+01
1.925000000000000000e+03,8.881050109863281250e+01
1.926000000000000000e+03,9.597413635253906250e+01
1.927000000000000000e+03,7.397608947753906250e+01
1.928000000000000000e+03,8.334767150878906250e+01
1.929000000000000000e+03,9.520658111572265625e+01
1.930000000000000000e+03,7.931189727783203125e+01
1.931000000000000000e+03,5.895636367797851562e+01
1.932000000000000000e+03,7.915111541748046875e+01
1.933000000000000000e+03,8.456136322021484375e+01
1.934000000000000000e+03,8.452221679687500000e+01
1.935000000000000000e+03,8.420516204833984375e+01
1.936000000000000000e+03,8.528174591064453125e+01
1.937000000000000000e+03,8.334843444824218750e+01
1.938000000000000000e+03,9.262208557128906250e+01
1.939000000000000000e+03,9.402111053466796875e+01
1.940000000000000000e+03,9.888748168945312500e+01
1.941000000000000000e+03,1.107780303955078125e+02
1.942000000000000000e+03,9.793875122070312500e+01
1.943000000000000000e+03,9.809529113769531250e+01
1.944000000000000000e+03,9.575518035888671875e+01
1.945000000000000000e+03,8.180701446533203125e+01
1.946000000000000000e+03,6.868490600585937500e+01
1.947000000000000000e+03,8.399689483642578125e+01
1.948000000000000000e+03,1.021757583618164062e+02
1.949000000000000000e+03,7.778939819335937500e+01
1.950000000000000000e+03,7.536386871337890625e+01
1.951000000000000000e+03,8.361566925048828125e+01
1.952000000000000000e+03,8.428313446044921875e+01
1.953000000000000000e+03,8.944851684570312500e+01
1.954000000000000000e+03,7.883460235595703125e+01
1.955000000000000000e+03,9.064796447753906250e+01
1.956000000000000000e+03,1.176420364379882812e+02
1.957000000000000000e+03,1.093817214965820312e+02
1.958000000000000000e+03,8.372145080566406250e+01
1.959000000000000000e+03,1.078895187377929688e+02
1.960000000000000000e+03,1.240004730224609375e+02
1.961000000000000000e+03,1.125561599731445312e+02
