time,value
2.011600000000000000e+04,6.059759902954101562e+01
2.011700000000000000e+04,6.056393814086914062e+01
2.011800000000000000e+04,8.056866455078125000e+01
2.011900000000000000e+04,7.234462738037109375e+01
2.012000000000000000e+04,7.643607330322265625e+01
2.012100000000000000e+04,7.167518615722656250e+01
2.012200000000000000e+04,5.869398880004882812e+01
2.012300000000000000e+04,6.611769104003906250e+01
2.012400000000000000e+04,7.177616119384765625e+01
2.012500000000000000e+04,6.050036239624023438e+01
2.012600000000000000e+04,7.051207733154296875e+01
2.012700000000000000e+04,5.937091064453125000e+01
2.012800000000000000e+04,7.283454895019531250e+01
2.012900000000000000e+04,7.545622253417968750e+01
2.013000000000000000e+04,5.633037185668945312e+01
2.013100000000000000e+04,6.988002777099609375e+01
2.013200000000000000e+04,7.793577575683593750e+01
2.013300000000000000e+04,6.714242553710937500e+01
2.013400000000000000e+04,7.179112243652343750e+01
2.013500000000000000e+04,5.756079864501953125e+01
2.013600000000000000e+04,6.615509033203125000e+01
2.013700000000000000e+04,6.800260162353515625e+01
2.013800000000000000e+04,6.412806701660156250e+01
2.013900000000000000e+04,7.267747497558593750e+01
2.014000000000000000e+04,7.534402465820312500e+01
2.014100000000000000e+04,7.099078369140625000e+01
2.014200000000000000e+04,7.051207733154296875e+01
2.014300000000000000e+04,6.366057586669921875e+01
2.014400000000000000e+04,6.848504638671875000e+01
2.014500000000000000e+04,6.500320434570312500e+01
2.014600000000000000e+04,6.581475830078125000e+01
2.014700000000000000e+04,5.921009445190429688e+01
2.014800000000000000e+04,5.447538375854492188e+01
2.014900000000000000e+04,4.912732696533203125e+01
2.015000000000000000e+04,4.399992370605468750e+01
2.015100000000000000e+04,4.825218963623046875e+01
2.015200000000000000e+04,4.288543319702148438e+01
2.015300000000000000e+04,5.140492630004882812e+01
2.015400000000000000e+04,4.424675750732421875e+01
2.015500000000000000e+04,5.625557327270507812e+01
2.015600000000000000e+04,5.439684295654296875e+01
2.015700000000000000e+04,6.782308197021484375e+01
2.015800000000000000e+04,6.245259094238281250e+01
2.015900000000000000e+04,6.414302062988281250e+01
2.016000000000000000e+04,5.448660278320312500e+01
2.016100000000000000e+04,6.627102661132812500e+01
2.016200000000000000e+04,5.070182418823242188e+01
2.016300000000000000e+04,4.999872207641601562e+01
2.016400000000000000e+04,6.184672546386718750e+01
2.016500000000000000e+04,6.211599731445312500e+01
2.016600000000000000e+04,6.446839904785156250e+01
2.016700000000000000e+04,6.039190292358398438e+01
2.016800000000000000e+04,5.872390747070312500e+01
2.016900000000000000e+04,5.734014511108398438e+01
2.017000000000000000e+04,5.572451019287109375e+01
2.017100000000000000e+04,5.294576263427734375e+01
2.017200000000000000e+04,5.551881408691406250e+01
2.017300000000000000e+04,6.009645080566406250e+01
2.017400000000000000e+04,4.356983566284179688e+01
2.017500000000000000e+04,5.008473968505859375e+01
2.017600000000000000e+04,5.725412750244140625e+01
2.017700000000000000e+04,6.709006500244140625e+01
2.017800000000000000e+04,6.206364059448242188e+01
2.017900000000000000e+04,5.275876998901367188e+01
2.018000000000000000e+04,3.713720703125000000e+01
2.018100000000000000e+04,5.178639602661132812e+01
2.018200000000000000e+04,5.999921417236328125e+01
2.018300000000000000e+04,6.099402999877929688e+01
2.018400000000000000e+04,5.710453414916992188e+01
2.018500000000000000e+04,6.340065383911132812e+01
2.018600000000000000e+04,5.811617660522460938e+01
2.018700000000000000e+04,6.042743301391601562e+01
2.018800000000000000e+04,5.955977630615234375e+01
2.018900000000000000e+04,7.177055358886718750e+01
2.019000000000000000e+04,6.330341720581054688e+01
2.019100000000000000e+04,6.469465637207031250e+01
2.019200000000000000e+04,8.224227142333984375e+01
2.019300000000000000e+04,8.480036163330078125e+01
2.019400000000000000e+04,6.846073913574218750e+01
2.019500000000000000e+04,9.044760894775390625e+01
2.019600000000000000e+04,1.009006271362304688e+02
2.019700000000000000e+04,1.087095413208007812e+02
2.019800000000000000e+04,1.106842117309570312e+02
2.019900000000000000e+04,1.225209960937500000e+02
2.020000000000000000e+04,1.361080474853515625e+02
2.020100000000000000e+04,1.384380035400390625e+02
2.020200000000000000e+04,1.476194610595703125e+02
2.020300000000000000e+04,1.528590545654296875e+02
2.020400000000000000e+04,1.577358856201171875e+02
2.020500000000000000e+04,1.493622589111328125e+02
2.020600000000000000e+04,1.396048583984375000e+02
2.020700000000000000e+04,1.310442199707031250e+02
2.020800000000000000e+04,1.294211120605468750e+02
2.020900000000000000e+04,1.326822967529296875e+02
2.021000000000000000e+04,1.178498611450195312e+02
2.021100000000000000e+04,1.177189636230468750e+02
2.021200000000000000e+04,9.217918395996093750e+01
2.021300000000000000e+04,9.180145263671875000e+01
2.021400000000000000e+04,9.704105377197265625e+01
2.021500000000000000e+04,8.785211944580078125e+01
2.021600000000000000e+04,7.935132598876953125e+01
2.021700000000000000e+04,6.939945220947265625e+01
2.021800000000000000e+04,6.731632995605468750e+01
2.021900000000000000e+04,4.351560592651367188e+01
2.022000000000000000e+04,4.684785842895507812e+01
2.022100000000000000e+04,6.116419219970703125e+01
2.022200000000000000e+04,7.145265960693359375e+01
2.022300000000000000e+04,5.417806243896484375e+01
2.022400000000000000e+04,4.909553527832031250e+01
2.022500000000000000e+04,4.874024581909179688e+01
2.022600000000000000e+04,3.599092864990234375e+01
2.022700000000000000e+04,3.571791458129882812e+01
2.022800000000000000e+04,4.081539916992187500e+01
2.022900000000000000e+04,4.003376007080078125e+01
2.023000000000000000e+04,3.184337806701660156e+01
2.023100000000000000e+04,3.967472839355468750e+01
2.023200000000000000e+04,4.047132873535156250e+01
2.023300000000000000e+04,3.787209701538085938e+01
2.023400000000000000e+04,4.128288650512695312e+01
2.023500000000000000e+04,4.686655807495117188e+01
2.023600000000000000e+04,4.498912811279296875e+01
2.023700000000000000e+04,3.643971633911132812e+01
2.023800000000000000e+04,3.698574066162109375e+01
2.023900000000000000e+04,2.513025856018066406e+01
2.024000000000000000e+04,1.363006496429443359e+01
2.024100000000000000e+04,1.675288200378417969e+01
2.024200000000000000e+04,4.452164077758789062e+01
2.024300000000000000e+04,5.248388671875000000e+01
2.024400000000000000e+04,4.256567001342773438e+01
2.024500000000000000e+04,3.293542861938476562e+01
2.024600000000000000e+04,5.118614196777343750e+01
2.024700000000000000e+04,3.249412155151367188e+01
2.024800000000000000e+04,-3.782908916473388672e+00
2.024900000000000000e+04,3.755794525146484375e+01
2.025000000000000000e+04,6.385318374633789062e+01
2.025100000000000000e+04,4.957050323486328125e+01
2.025200000000000000e+04,4.243477630615234375e+01
2.025300000000000000e+04,1.795339012145996094e+01
2.025400000000000000e+04,1.453512096405029297e+01
2.025500000000000000e+04,4.402797317504882812e+01
2.025600000000000000e+04,5.265592193603515625e+01
2.025700000000000000e+04,5.021376800537109375e+01
2.025800000000000000e+04,4.762201690673828125e+01
2.025900000000000000e+04,2.745647621154785156e+01
2.026000000000000000e+04,1.734004592895507812e+01
2.026100000000000000e+04,4.517238235473632812e+01
2.026200000000000000e+04,4.997067260742187500e+01
2.026300000000000000e+04,4.423740768432617188e+01
2.026400000000000000e+04,3.605450439453125000e+01
2.026500000000000000e+04,3.107295799255371094e+01
2.026600000000000000e+04,3.707175827026367188e+01
2.026700000000000000e+04,5.092808914184570312e+01
2.026800000000000000e+04,5.043815994262695312e+01
2.026900000000000000e+04,3.873227310180664062e+01
2.027000000000000000e+04,4.340715026855468750e+01
2.027100000000000000e+04,4.829519653320312500e+01
2.027200000000000000e+04,5.234925079345703125e+01
2.027300000000000000e+04,4.773795318603515625e+01
2.027400000000000000e+04,4.235249710083007812e+01
2.027500000000000000e+04,4.479091262817382812e+01
2.027600000000000000e+04,4.604751968383789062e+01
2.027700000000000000e+04,3.476797866821289062e+01
2.027800000000000000e+04,3.775616073608398438e+01
2.027900000000000000e+04,5.537856674194335938e+01
2.028000000000000000e+04,5.368439483642578125e+01
2.028100000000000000e+04,5.616394805908203125e+01
2.028200000000000000e+04,4.934236907958984375e+01
2.028300000000000000e+04,4.897586059570312500e+01
2.028400000000000000e+04,3.600962829589843750e+01
2.028500000000000000e+04,4.394943618774414062e+01
2.028600000000000000e+04,4.689647674560546875e+01
2.028700000000000000e+04,4.014969635009765625e+01
2.028800000000000000e+04,3.509334945678710938e+01
2.028900000000000000e+04,4.010855865478515625e+01
2.029000000000000000e+04,4.147735977172851562e+01
2.029100000000000000e+04,5.406212234497070312e+01
2.029200000000000000e+04,6.260405349731445312e+01
2.029300000000000000e+04,6.311642074584960938e+01
2.029400000000000000e+04,5.921196746826171875e+01
2.029500000000000000e+04,4.802966690063476562e+01
2.029600000000000000e+04,5.773844528198242188e+01
2.029700000000000000e+04,3.401625823974609375e+01
2.029800000000000000e+04,5.133947753906250000e+01
2.029900000000000000e+04,6.819894409179687500e+01
2.030000000000000000e+04,5.775340652465820312e+01
2.030100000000000000e+04,6.898806762695312500e+01
2.030200000000000000e+04,6.866269683837890625e+01
2.030300000000000000e+04,7.094029235839843750e+01
2.030400000000000000e+04,6.867391204833984375e+01
2.030500000000000000e+04,6.535288238525390625e+01
2.030600000000000000e+04,6.462734222412109375e+01
2.030700000000000000e+04,5.811617660522460938e+01
2.030800000000000000e+04,6.522946166992187500e+01
2.030900000000000000e+04,6.148956680297851562e+01
2.031000000000000000e+04,5.768982696533203125e+01
2.031100000000000000e+04,6.459741973876953125e+01
2.031200000000000000e+04,7.287007904052734375e+01
2.031300000000000000e+04,6.618313598632812500e+01
2.031400000000000000e+04,6.522572326660156250e+01
2.031500000000000000e+04,6.251055908203125000e+01
2.031600000000000000e+04,5.034840393066406250e+01
2.031700000000000000e+04,6.753324127197265625e+01
2.031800000000000000e+04,7.677079772949218750e+01
2.031900000000000000e+04,7.930644989013671875e+01
2.032000000000000000e+04,6.970612335205078125e+01
