time,value
2.129800000000000000e+04,-5.794974899291992188e+01
2.129900000000000000e+04,-9.108900451660156250e+01
2.130000000000000000e+04,-1.114116191864013672e+01
2.130100000000000000e+04,-4.581377410888671875e+01
2.130200000000000000e+04,-6.710876464843750000e+01
2.130300000000000000e+04,-6.368675613403320312e+01
2.130400000000000000e+04,-7.207535552978515625e+01
2.130500000000000000e+04,-7.660063171386718750e+01
2.130600000000000000e+04,-4.725737762451171875e+01
2.130700000000000000e+04,-1.088871841430664062e+02
2.130800000000000000e+04,-1.031015625000000000e+02
2.130900000000000000e+04,-1.988504791259765625e+01
2.131000000000000000e+04,-3.400690841674804688e+01
2.131100000000000000e+04,-4.581377410888671875e+01
2.131200000000000000e+04,-3.637426757812500000e+01
2.131300000000000000e+04,-4.670761108398437500e+01
2.131400000000000000e+04,-5.371618270874023438e+01
2.131500000000000000e+04,-5.406773376464843750e+01
2.131600000000000000e+04,-6.754259490966796875e+01
2.131700000000000000e+04,-8.635428619384765625e+01
2.131800000000000000e+04,-4.564173889160156250e+01
2.131900000000000000e+04,-3.384235382080078125e+01
2.132000000000000000e+04,-2.830730247497558594e+01
2.132100000000000000e+04,-6.881790161132812500e+01
2.132200000000000000e+04,-7.695217895507812500e+01
2.132300000000000000e+04,-3.213322067260742188e+01
2.132400000000000000e+04,-2.087986183166503906e+01
2.132500000000000000e+04,-3.592173767089843750e+01
2.132600000000000000e+04,-3.999449157714843750e+01
2.132700000000000000e+04,-2.493017387390136719e+01
2.132800000000000000e+04,-1.129449748992919922e+01
2.132900000000000000e+04,-3.812080001831054688e+01
2.133000000000000000e+04,-5.149842071533203125e+01
2.133100000000000000e+04,-2.608580207824707031e+01
2.133200000000000000e+04,-8.515751838684082031e+00
2.133300000000000000e+04,-3.130296230316162109e+00
2.133400000000000000e+04,-3.577962112426757812e+01
2.133500000000000000e+04,-5.106833267211914062e+01
2.133600000000000000e+04,-5.525702285766601562e+01
2.133700000000000000e+04,-2.800063133239746094e+01
2.133800000000000000e+04,1.071107387542724609e+01
2.133900000000000000e+04,1.086814880371093750e+01
2.134000000000000000e+04,-7.678014755249023438e+00
2.134100000000000000e+04,-4.921334457397460938e+01
2.134200000000000000e+04,6.731820106506347656e-02
2.134300000000000000e+04,1.043806076049804688e+01
2.134400000000000000e+04,-6.092297077178955078e+00
2.134500000000000000e+04,-2.197565269470214844e+01
2.134600000000000000e+04,-7.999646186828613281e+00
2.134700000000000000e+04,-1.303729152679443359e+01
2.134800000000000000e+04,-1.398722553253173828e+01
2.134900000000000000e+04,-6.380269527435302734e+00
2.135000000000000000e+04,1.861722183227539062e+01
2.135100000000000000e+04,1.377779102325439453e+01
2.135200000000000000e+04,-2.973220348358154297e+00
2.135300000000000000e+04,-4.962847232818603516e+00
2.135400000000000000e+04,-3.476985168457031250e+01
2.135500000000000000e+04,1.374039268493652344e+01
2.135600000000000000e+04,4.810259246826171875e+01
2.135700000000000000e+04,1.308590984344482422e+01
2.135800000000000000e+04,-4.887301254272460938e+01
2.135900000000000000e+04,1.165726852416992188e+01
2.136000000000000000e+04,4.786697769165039062e+01
2.136100000000000000e+04,3.308689498901367188e+01
2.136200000000000000e+04,2.402137756347656250e+01
2.136300000000000000e+04,1.596937274932861328e+01
2.136400000000000000e+04,8.874782562255859375e+00
2.136500000000000000e+04,-9.076737403869628906e+00
2.136600000000000000e+04,-8.426368713378906250e+01
