time,value
1.177400000000000000e+04,4.701802062988281250e+01
1.177500000000000000e+04,4.784080123901367188e+01
1.177600000000000000e+04,7.951401519775390625e+01
1.177700000000000000e+04,6.020116806030273438e+01
1.177800000000000000e+04,6.788292694091796875e+01
1.177900000000000000e+04,4.500969696044921875e+01
1.178000000000000000e+04,3.703622817993164062e+01
1.178100000000000000e+04,5.372740173339843750e+01
1.178200000000000000e+04,6.688810729980468750e+01
1.178300000000000000e+04,5.007725906372070312e+01
1.178400000000000000e+04,4.795673751831054688e+01
1.178500000000000000e+04,6.180184555053710938e+01
1.178600000000000000e+04,1.002181015014648438e+02
1.178700000000000000e+04,8.980622100830078125e+01
1.178800000000000000e+04,5.671184158325195312e+01
1.178900000000000000e+04,5.950180816650390625e+01
1.179000000000000000e+04,4.078360748291015625e+01
1.179100000000000000e+04,2.715541267395019531e+01
1.179200000000000000e+04,7.529540252685546875e+01
1.179300000000000000e+04,9.442499542236328125e+01
1.179400000000000000e+04,7.252787780761718750e+01
1.179500000000000000e+04,3.423878479003906250e+01
1.179600000000000000e+04,2.259273529052734375e+01
1.179700000000000000e+04,6.438985443115234375e+01
1.179800000000000000e+04,1.121633377075195312e+02
1.179900000000000000e+04,8.798114776611328125e+01
1.180000000000000000e+04,5.718307113647460938e+01
1.180100000000000000e+04,4.423179626464843750e+01
1.180200000000000000e+04,4.937789916992187500e+01
1.180300000000000000e+04,4.229826736450195312e+01
1.180400000000000000e+04,7.144330596923828125e+01
1.180500000000000000e+04,7.637249755859375000e+01
1.180600000000000000e+04,4.833072662353515625e+01
1.180700000000000000e+04,3.233517456054687500e+01
1.180800000000000000e+04,3.954196166992187500e+01
1.180900000000000000e+04,8.897595977783203125e+01
1.181000000000000000e+04,8.394205474853515625e+01
1.181100000000000000e+04,4.358105468750000000e+01
1.181200000000000000e+04,5.558987426757812500e+01
1.181300000000000000e+04,5.104963302612304688e+01
1.181400000000000000e+04,2.111173439025878906e+01
1.181500000000000000e+04,6.341748428344726562e+01
1.181600000000000000e+04,8.771935272216796875e+01
1.181700000000000000e+04,8.458531951904296875e+01
1.181800000000000000e+04,6.878424072265625000e+01
1.181900000000000000e+04,4.786323928833007812e+01
1.182000000000000000e+04,5.755332183837890625e+01
1.182100000000000000e+04,5.489425277709960938e+01
1.182200000000000000e+04,3.703248977661132812e+01
1.182300000000000000e+04,5.961774444580078125e+01
1.182400000000000000e+04,7.524304962158203125e+01
1.182500000000000000e+04,7.274853515625000000e+01
1.182600000000000000e+04,5.093369674682617188e+01
1.182700000000000000e+04,5.288966369628906250e+01
1.182800000000000000e+04,5.415748977661132812e+01
1.182900000000000000e+04,4.489001846313476562e+01
1.183000000000000000e+04,6.271438217163085938e+01
1.183100000000000000e+04,7.620793914794921875e+01
1.183200000000000000e+04,7.627899932861328125e+01
1.183300000000000000e+04,7.054199218750000000e+01
1.183400000000000000e+04,5.799089050292968750e+01
1.183500000000000000e+04,4.322950363159179688e+01
1.183600000000000000e+04,4.214867401123046875e+01
1.183700000000000000e+04,-5.445294380187988281e+00
1.183800000000000000e+04,7.340675354003906250e+01
1.183900000000000000e+04,1.007342071533203125e+02
1.184000000000000000e+04,9.408840179443359375e+01
1.184100000000000000e+04,7.295796966552734375e+01
1.184200000000000000e+04,7.316366577148437500e+01
1.184300000000000000e+04,6.855236816406250000e+01
1.184400000000000000e+04,6.284153747558593750e+01
1.184500000000000000e+04,4.756778717041015625e+01
1.184600000000000000e+04,5.396675491333007812e+01
1.184700000000000000e+04,1.600677108764648438e+01
1.184800000000000000e+04,4.810633468627929688e+01
1.184900000000000000e+04,9.553948211669921875e+01
1.185000000000000000e+04,9.468679046630859375e+01
1.185100000000000000e+04,8.333618927001953125e+01
1.185200000000000000e+04,5.493165206909179688e+01
1.185300000000000000e+04,5.659964752197265625e+01
1.185400000000000000e+04,7.406497955322265625e+01
1.185500000000000000e+04,7.296544647216796875e+01
1.185600000000000000e+04,7.701950073242187500e+01
1.185700000000000000e+04,6.949108123779296875e+01
1.185800000000000000e+04,9.096932983398437500e+01
1.185900000000000000e+04,4.397374343872070312e+01
1.186000000000000000e+04,7.583395385742187500e+01
1.186100000000000000e+04,1.037448272705078125e+02
1.186200000000000000e+04,9.474288177490234375e+01
1.186300000000000000e+04,1.004724121093750000e+02
1.186400000000000000e+04,1.043693847656250000e+02
1.186500000000000000e+04,1.107122573852539062e+02
1.186600000000000000e+04,9.820603179931640625e+01
1.186700000000000000e+04,1.062505569458007812e+02
1.186800000000000000e+04,1.068377227783203125e+02
1.186900000000000000e+04,1.042983322143554688e+02
1.187000000000000000e+04,1.379686431884765625e+02
1.187100000000000000e+04,1.645406341552734375e+02
1.187200000000000000e+04,1.513836669921875000e+02
1.187300000000000000e+04,1.293893127441406250e+02
1.187400000000000000e+04,1.742082824707031250e+02
1.187500000000000000e+04,1.777873687744140625e+02
1.187600000000000000e+04,1.495810394287109375e+02
1.187700000000000000e+04,1.668294525146484375e+02
1.187800000000000000e+04,1.480214996337890625e+02
1.187900000000000000e+04,1.535827331542968750e+02
1.188000000000000000e+04,1.585231323242187500e+02
1.188100000000000000e+04,8.622339630126953125e+01
1.188200000000000000e+04,1.185772705078125000e+02
1.188300000000000000e+04,1.957949829101562500e+02
1.188400000000000000e+04,1.816843414306640625e+02
1.188500000000000000e+04,1.672408447265625000e+02
1.188600000000000000e+04,1.767065277099609375e+02
1.188700000000000000e+04,1.604267425537109375e+02
1.188800000000000000e+04,1.340604553222656250e+02
1.188900000000000000e+04,1.452053527832031250e+02
1.189000000000000000e+04,1.211914596557617188e+02
1.189100000000000000e+04,1.343783416748046875e+02
1.189200000000000000e+04,1.072491073608398438e+02
1.189300000000000000e+04,7.444644927978515625e+01
1.189400000000000000e+04,1.539118499755859375e+02
1.189500000000000000e+04,1.840816192626953125e+02
1.189600000000000000e+04,1.634411010742187500e+02
1.189700000000000000e+04,1.549590148925781250e+02
1.189800000000000000e+04,1.369626159667968750e+02
1.189900000000000000e+04,1.404706420898437500e+02
1.190000000000000000e+04,5.902684020996093750e+01
1.190100000000000000e+04,8.983987426757812500e+01
1.190200000000000000e+04,1.418319702148437500e+02
1.190300000000000000e+04,9.060281372070312500e+01
1.190400000000000000e+04,1.566344909667968750e+02
1.190500000000000000e+04,1.434513397216796875e+02
