time,value
2.281000000000000000e+03,5.515791320800781250e+01
2.282000000000000000e+03,6.637013244628906250e+01
2.283000000000000000e+03,5.781324386596679688e+01
2.284000000000000000e+03,5.265592193603515625e+01
2.285000000000000000e+03,6.188225555419921875e+01
2.286000000000000000e+03,5.896139144897460938e+01
2.287000000000000000e+03,4.980237960815429688e+01
2.288000000000000000e+03,3.973456573486328125e+01
2.289000000000000000e+03,5.153395080566406250e+01
2.290000000000000000e+03,6.345301437377929688e+01
2.291000000000000000e+03,6.290698623657226562e+01
2.292000000000000000e+03,5.499335861206054688e+01
2.293000000000000000e+03,5.257738494873046875e+01
2.294000000000000000e+03,4.492181015014648438e+01
2.295000000000000000e+03,5.497465896606445312e+01
2.296000000000000000e+03,4.546035385131835938e+01
2.297000000000000000e+03,4.941342926025390625e+01
2.298000000000000000e+03,6.653095245361328125e+01
2.299000000000000000e+03,6.218518829345703125e+01
2.300000000000000000e+03,5.672493362426757812e+01
2.301000000000000000e+03,5.681843185424804688e+01
2.302000000000000000e+03,5.485498428344726562e+01
2.303000000000000000e+03,5.405838394165039062e+01
2.304000000000000000e+03,4.182143020629882812e+01
2.305000000000000000e+03,5.056531906127929688e+01
2.306000000000000000e+03,6.111931610107421875e+01
2.307000000000000000e+03,6.226746368408203125e+01
2.308000000000000000e+03,5.150029373168945312e+01
2.309000000000000000e+03,5.525141143798828125e+01
2.310000000000000000e+03,5.946253967285156250e+01
2.311000000000000000e+03,5.228193283081054688e+01
2.312000000000000000e+03,4.904317855834960938e+01
2.313000000000000000e+03,6.108565521240234375e+01
2.314000000000000000e+03,5.972433090209960938e+01
2.315000000000000000e+03,4.490684890747070312e+01
2.316000000000000000e+03,4.785388946533203125e+01
2.317000000000000000e+03,5.295137405395507812e+01
2.318000000000000000e+03,6.825130462646484375e+01
2.319000000000000000e+03,6.207299041748046875e+01
2.320000000000000000e+03,5.246518707275390625e+01
2.321000000000000000e+03,4.532571792602539062e+01
2.322000000000000000e+03,5.159378814697265625e+01
2.323000000000000000e+03,5.199021911621093750e+01
2.324000000000000000e+03,4.218046188354492188e+01
2.325000000000000000e+03,5.643696212768554688e+01
2.326000000000000000e+03,5.576377868652343750e+01
2.327000000000000000e+03,5.709518432617187500e+01
2.328000000000000000e+03,4.803340530395507812e+01
2.329000000000000000e+03,4.887488174438476562e+01
2.330000000000000000e+03,4.292844009399414062e+01
2.331000000000000000e+03,3.452862548828125000e+01
2.332000000000000000e+03,5.071491241455078125e+01
2.333000000000000000e+03,5.454457092285156250e+01
2.334000000000000000e+03,5.424163818359375000e+01
2.335000000000000000e+03,6.034515762329101562e+01
2.336000000000000000e+03,5.899879074096679688e+01
2.337000000000000000e+03,5.701664352416992188e+01
2.338000000000000000e+03,5.156761169433593750e+01
2.339000000000000000e+03,4.973131942749023438e+01
2.340000000000000000e+03,5.193038177490234375e+01
2.341000000000000000e+03,4.496294784545898438e+01
2.342000000000000000e+03,5.348244094848632812e+01
2.343000000000000000e+03,5.417432022094726562e+01
2.344000000000000000e+03,4.781649017333984375e+01
2.345000000000000000e+03,5.408830261230468750e+01
2.346000000000000000e+03,6.286584854125976562e+01
