time,value
3.101000000000000000e+03,4.513872146606445312e+01
3.102000000000000000e+03,1.626669502258300781e+01
3.103000000000000000e+03,2.625970840454101562e+01
3.104000000000000000e+03,1.357396697998046875e+01
3.105000000000000000e+03,-9.119746208190917969e+00
3.106000000000000000e+03,-2.122206306457519531e+01
3.107000000000000000e+03,9.966833591461181641e-01
3.108000000000000000e+03,-1.941195106506347656e+01
3.109000000000000000e+03,-1.808241605758666992e+00
3.110000000000000000e+03,-8.162331581115722656e+00
3.111000000000000000e+03,2.319298934936523438e+01
3.112000000000000000e+03,1.086440920829772949e+00
3.113000000000000000e+03,-3.213508987426757812e+01
3.114000000000000000e+03,1.820396232604980469e+01
3.115000000000000000e+03,1.118043136596679688e+01
3.116000000000000000e+03,-2.933951616287231445e+00
3.117000000000000000e+03,-2.525367355346679688e+01
3.118000000000000000e+03,-8.588680267333984375e+00
3.119000000000000000e+03,-1.406389331817626953e+01
3.120000000000000000e+03,-1.509049654006958008e+00
3.121000000000000000e+03,-2.442715644836425781e+01
3.122000000000000000e+03,-2.242630958557128906e+01
3.123000000000000000e+03,-1.356648731231689453e+01
3.124000000000000000e+03,-5.877252578735351562e+00
3.125000000000000000e+03,1.294940376281738281e+01
3.126000000000000000e+03,-7.754682540893554688e+00
3.127000000000000000e+03,-2.663743782043457031e+01
3.128000000000000000e+03,1.969057321548461914e+00
3.129000000000000000e+03,-5.586849594116210938e+01
3.130000000000000000e+03,-5.856870269775390625e+01
3.131000000000000000e+03,3.105799865722656250e+01
3.132000000000000000e+03,2.978643226623535156e+01
3.133000000000000000e+03,1.359640598297119141e+01
3.134000000000000000e+03,1.725963830947875977e+00
3.135000000000000000e+03,-4.017961502075195312e+01
3.136000000000000000e+03,-3.443138885498046875e+01
3.137000000000000000e+03,-1.969618225097656250e+01
3.138000000000000000e+03,-4.149418830871582031e+00
3.139000000000000000e+03,2.089669036865234375e+01
3.140000000000000000e+03,2.093408966064453125e+01
3.141000000000000000e+03,2.320607900619506836e+00
3.142000000000000000e+03,9.239422798156738281e+00
3.143000000000000000e+03,4.714143753051757812e+00
3.144000000000000000e+03,-1.573562908172607422e+01
3.145000000000000000e+03,-5.568524169921875000e+01
3.146000000000000000e+03,-1.624799537658691406e+01
3.147000000000000000e+03,1.404145431518554688e+01
3.148000000000000000e+03,-2.388861083984375000e+01
3.149000000000000000e+03,6.292381763458251953e+00
3.150000000000000000e+03,6.107443618774414062e+01
3.151000000000000000e+03,4.971261978149414062e+01
3.152000000000000000e+03,1.508488655090332031e+01
3.153000000000000000e+03,7.829480648040771484e+00
3.154000000000000000e+03,1.512789487838745117e+00
3.155000000000000000e+03,1.769159698486328125e+01
3.156000000000000000e+03,1.017439746856689453e+01
3.157000000000000000e+03,-3.878837203979492188e+01
3.158000000000000000e+03,-1.644621086120605469e+01
3.159000000000000000e+03,6.842333984375000000e+01
3.160000000000000000e+03,4.629809188842773438e+01
3.161000000000000000e+03,3.623028182983398438e+01
3.162000000000000000e+03,2.475252723693847656e+01
3.163000000000000000e+03,-1.984016895294189453e+00
3.164000000000000000e+03,9.826586723327636719e+00
3.165000000000000000e+03,1.404332399368286133e+00
3.166000000000000000e+03,2.249362754821777344e+01
3.167000000000000000e+03,2.914690971374511719e+01
3.168000000000000000e+03,1.496894931793212891e+01
3.169000000000000000e+03,1.827502059936523438e+01
3.170000000000000000e+03,4.250396251678466797e+00
3.171000000000000000e+03,-1.288395524024963379e+00
3.172000000000000000e+03,3.503351211547851562e+01
3.173000000000000000e+03,4.760705566406250000e+01
3.174000000000000000e+03,6.252551651000976562e+01
3.175000000000000000e+03,3.676134490966796875e+01
3.176000000000000000e+03,-1.106075382232666016e+01
3.177000000000000000e+03,4.949757575988769531e+00
3.178000000000000000e+03,3.414341735839843750e+01
3.179000000000000000e+03,1.496520996093750000e+01
3.180000000000000000e+03,4.096873474121093750e+01
3.181000000000000000e+03,5.706152343750000000e+01
3.182000000000000000e+03,4.387837600708007812e+01
3.183000000000000000e+03,5.679038047790527344e+00
3.184000000000000000e+03,-5.965140461921691895e-01
3.185000000000000000e+03,4.001879882812500000e+01
3.186000000000000000e+03,4.735274505615234375e+01
3.187000000000000000e+03,5.595077514648437500e+01
3.188000000000000000e+03,2.792022323608398438e+01
3.189000000000000000e+03,1.516342449188232422e+01
3.190000000000000000e+03,-1.118417072296142578e+01
3.191000000000000000e+03,2.006643295288085938e+01
3.192000000000000000e+03,3.770006179809570312e+01
3.193000000000000000e+03,5.791796112060546875e+01
3.194000000000000000e+03,6.954904937744140625e+01
3.195000000000000000e+03,5.757014846801757812e+01
3.196000000000000000e+03,2.162223243713378906e+01
3.197000000000000000e+03,9.231943130493164062e+00
3.198000000000000000e+03,3.478667831420898438e+01
3.199000000000000000e+03,3.497367477416992188e+01
3.200000000000000000e+03,4.968270111083984375e+01
3.201000000000000000e+03,5.796844884753227234e-02
3.202000000000000000e+03,2.827177429199218750e+01
3.203000000000000000e+03,6.484051513671875000e+01
3.204000000000000000e+03,4.099491500854492188e+01
3.205000000000000000e+03,1.834981918334960938e+01
3.206000000000000000e+03,5.938774108886718750e+01
3.207000000000000000e+03,6.475450134277343750e+01
3.208000000000000000e+03,3.818998718261718750e+01
3.209000000000000000e+03,3.416585540771484375e+01
3.210000000000000000e+03,5.032970428466796875e+01
3.211000000000000000e+03,-3.334120750427246094e+00
3.212000000000000000e+03,-2.005895423889160156e+01
3.213000000000000000e+03,8.192063903808593750e+01
3.214000000000000000e+03,8.567549896240234375e+01
3.215000000000000000e+03,6.861781311035156250e+01
3.216000000000000000e+03,3.682866668701171875e+01
3.217000000000000000e+03,1.761305809020996094e+01
3.218000000000000000e+03,5.261104202270507812e+01
3.219000000000000000e+03,1.170775699615478516e+01
3.220000000000000000e+03,-8.551280975341796875e+00
3.221000000000000000e+03,3.989912414550781250e+01
3.222000000000000000e+03,1.070265884399414062e+02
3.223000000000000000e+03,9.434084320068359375e+01
3.224000000000000000e+03,6.350163269042968750e+01
3.225000000000000000e+03,5.200143814086914062e+01
3.226000000000000000e+03,1.006220054626464844e+01
3.227000000000000000e+03,-6.082947254180908203e+00
3.228000000000000000e+03,6.201689147949218750e+01
3.229000000000000000e+03,6.146712493896484375e+01
3.230000000000000000e+03,6.965002441406250000e+01
3.231000000000000000e+03,9.208568572998046875e+01
3.232000000000000000e+03,5.436505508422851562e+01
3.233000000000000000e+03,5.170224761962890625e+01
3.234000000000000000e+03,2.983505249023437500e+01
3.235000000000000000e+03,-3.082238578796386719e+01
3.236000000000000000e+03,4.759583663940429688e+01
3.237000000000000000e+03,8.891051483154296875e+01
3.238000000000000000e+03,7.737666320800781250e+01
3.239000000000000000e+03,6.961637115478515625e+01
3.240000000000000000e+03,5.866220092773437500e+01
3.241000000000000000e+03,-2.840641021728515625e+01
3.242000000000000000e+03,2.996968841552734375e+01
3.243000000000000000e+03,8.991280364990234375e+01
3.244000000000000000e+03,7.675209808349609375e+01
3.245000000000000000e+03,6.457872009277343750e+01
3.246000000000000000e+03,5.987018966674804688e+01
3.247000000000000000e+03,3.017164230346679688e+01
3.248000000000000000e+03,2.954707908630371094e+01
3.249000000000000000e+03,2.539953041076660156e+01
3.250000000000000000e+03,5.377789306640625000e+01
3.251000000000000000e+03,5.926432418823242188e+01
3.252000000000000000e+03,6.454506683349609375e+01
3.253000000000000000e+03,6.237592315673828125e+01
3.254000000000000000e+03,3.174240112304687500e+01
3.255000000000000000e+03,2.631580543518066406e+01
3.256000000000000000e+03,5.752901077270507812e+01
3.257000000000000000e+03,5.516913604736328125e+01
3.258000000000000000e+03,5.445107269287109375e+01
3.259000000000000000e+03,4.818300247192382812e+01
3.260000000000000000e+03,3.577027130126953125e+01
3.261000000000000000e+03,2.485163450241088867e+00
3.262000000000000000e+03,5.004547119140625000e+01
3.263000000000000000e+03,6.556231689453125000e+01
3.264000000000000000e+03,5.739811325073242188e+01
3.265000000000000000e+03,5.157135009765625000e+01
3.266000000000000000e+03,6.107443618774414062e+01
3.267000000000000000e+03,3.280079269409179688e+01
3.268000000000000000e+03,2.775192832946777344e+01
3.269000000000000000e+03,3.971960830688476562e+01
3.270000000000000000e+03,6.273869323730468750e+01
3.271000000000000000e+03,5.978042984008789062e+01
3.272000000000000000e+03,1.867518997192382812e+01
3.273000000000000000e+03,3.496245574951171875e+01
3.274000000000000000e+03,4.172045516967773438e+01
3.275000000000000000e+03,1.660702514648437500e+01
3.276000000000000000e+03,3.371706771850585938e+01
3.277000000000000000e+03,5.766364669799804688e+01
3.278000000000000000e+03,5.246518707275390625e+01
3.279000000000000000e+03,7.893245697021484375e+01
3.280000000000000000e+03,6.006840133666992188e+01
3.281000000000000000e+03,4.034043121337890625e+01
3.282000000000000000e+03,1.638637161254882812e+01
3.283000000000000000e+03,2.738167762756347656e+01
3.284000000000000000e+03,5.335902404785156250e+01
3.285000000000000000e+03,4.863926696777343750e+01
3.286000000000000000e+03,6.185233688354492188e+01
3.287000000000000000e+03,5.045685958862304688e+01
3.288000000000000000e+03,5.681468963623046875e+01
3.289000000000000000e+03,4.534067535400390625e+01
3.290000000000000000e+03,3.563937759399414062e+01
3.291000000000000000e+03,5.886415481567382812e+01
3.292000000000000000e+03,6.225998306274414062e+01
3.293000000000000000e+03,4.823162078857421875e+01
3.294000000000000000e+03,1.658832550048828125e+01
3.295000000000000000e+03,3.897910690307617188e+01
3.296000000000000000e+03,8.778105926513671875e+01
3.297000000000000000e+03,8.135965728759765625e+01
3.298000000000000000e+03,7.225673675537109375e+01
3.299000000000000000e+03,5.576377868652343750e+01
3.300000000000000000e+03,3.365723037719726562e+01
3.301000000000000000e+03,2.581465911865234375e+01
3.302000000000000000e+03,3.431171035766601562e+01
3.303000000000000000e+03,6.157932281494140625e+01
3.304000000000000000e+03,3.648459243774414062e+01
3.305000000000000000e+03,3.439025115966796875e+01
3.306000000000000000e+03,3.811145019531250000e+01
3.307000000000000000e+03,7.288877868652343750e+01
3.308000000000000000e+03,4.951066589355468750e+01
3.309000000000000000e+03,4.397935485839843750e+01
3.310000000000000000e+03,5.664078712463378906e+00
3.311000000000000000e+03,4.763323593139648438e+01
3.312000000000000000e+03,7.331887054443359375e+01
3.313000000000000000e+03,6.054711151123046875e+01
3.314000000000000000e+03,1.674914169311523438e+01
3.315000000000000000e+03,8.484149932861328125e+01
3.316000000000000000e+03,7.555532836914062500e+01
3.317000000000000000e+03,2.517139625549316406e+01
3.318000000000000000e+03,5.185558319091796875e+01
3.319000000000000000e+03,3.956253051757812500e+01
3.320000000000000000e+03,3.059799194335937500e+01
3.321000000000000000e+03,2.152499389648437500e+01
3.322000000000000000e+03,3.504099273681640625e+01
3.323000000000000000e+03,3.970090866088867188e+01
3.324000000000000000e+03,5.923440551757812500e+01
3.325000000000000000e+03,5.554686355590820312e+01
3.326000000000000000e+03,6.200941085815429688e+01
3.327000000000000000e+03,2.190272331237792969e+01
3.328000000000000000e+03,-1.406389331817626953e+01
3.329000000000000000e+03,2.354828071594238281e+01
3.330000000000000000e+03,9.439320373535156250e+01
3.331000000000000000e+03,8.551842498779296875e+01
3.332000000000000000e+03,7.554410552978515625e+01
3.333000000000000000e+03,5.197151947021484375e+01
3.334000000000000000e+03,6.868326187133789062e+00
3.335000000000000000e+03,8.521362304687500000e+00
3.336000000000000000e+03,6.542019653320312500e+01
3.337000000000000000e+03,7.206600189208984375e+01
3.338000000000000000e+03,6.525938415527343750e+01
3.339000000000000000e+03,5.031100463867187500e+01
3.340000000000000000e+03,5.773096466064453125e+01
3.341000000000000000e+03,4.753973770141601562e+01
3.342000000000000000e+03,5.811243438720703125e+01
3.343000000000000000e+03,2.530042409896850586e+00
3.344000000000000000e+03,4.189249038696289062e+01
3.345000000000000000e+03,8.351383972167968750e+01
3.346000000000000000e+03,9.094127655029296875e+01
3.347000000000000000e+03,5.331788253784179688e+01
3.348000000000000000e+03,4.975375747680664062e+01
3.349000000000000000e+03,3.538506317138671875e+01
3.350000000000000000e+03,2.934886550903320312e+01
3.351000000000000000e+03,3.217996978759765625e+01
3.352000000000000000e+03,2.261330413818359375e+01
3.353000000000000000e+03,7.254470825195312500e+01
3.354000000000000000e+03,8.702560424804687500e+01
