slope1,slope2,slope3,t1,t2,t3,std_dev,sample_entropy,label
0.367713,0.564701,0.050894,30,210,76,10.561665,0.118384,0
0.586763,-2.187024,0.494809,104,47,38,17.547779,0.146230,1
inf,-0.258706,7.931505,189,86,271,10.771844,0.795224,0
0.033472,0.064819,0.056515,118,136,186,4.149906,0.191831,0
0.788551,-3.300230,0.365531,140,97,76,23.393471,0.223038,1
0.117557,0.815314,0.322957,184,42,181,24.797845,0.116250,0
0.177048,0.281461,0.050550,46,194,99,7.185621,0.682399,0
0.104734,0.202784,0.104380,88,105,172,9.964310,0.070908,0
0.032364,0.108492,0.058571,207,95,246,4.727223,0.946566,0
0.815158,-1.705794,0.533930,167,70,78,23.318960,1.181545,1
18.916925,-1.544239,132.863515,53,173,221,32.130117,1.647637,0
0.110095,0.148737,0.123115,53,155,188,10.208282,0.739776,0
0.698795,2.541071,0.270956,58,182,78,17.386962,2.021173,0
1.486348,-0.193871,0.339264,78,164,178,9.755542,0.055236,0
1.237987,-4.575171,0.300952,108,132,46,32.042109,0.072954,1
0.270606,3.575869,0.451998,171,86,29,30.830291,0.136461,1
inf,-0.620936,3.662592,65,104,153,27.334761,0.436251,0
0.156676,-0.205419,0.224124,208,130,147,7.300056,0.829484,0
0.140064,0.264736,0.155018,81,100,159,15.541902,0.086351,1
1.168568,3.505705,0.292582,42,98,22,21.111422,1.285388,1
1.264681,-3.857278,0.223767,81,83,33,23.503256,0.111975,1
0.122667,1.299151,0.234431,211,66,94,13.134930,0.843361,0
0.385962,-3.380495,5.128753,283,16,36,23.150189,0.522609,1
0.524262,-1.815736,0.507390,183,161,63,32.997349,0.072484,1
1.183630,-9.899447,0.713998,103,103,12,28.825311,1.460606,1
1.191703,-4.468886,0.302631,114,148,47,28.158951,0.630114,1
0.985916,-3.773677,0.365411,140,162,41,32.559436,0.527891,1
0.132607,1.044278,0.242951,165,34,116,12.971494,0.155742,0
1.109478,-1.962923,0.359345,36,171,91,11.937131,2.020945,0
0.325036,-0.384134,0.055889,24,227,59,3.246625,0.256292,0
0.172480,0.245179,0.139396,51,252,124,12.467924,2.377486,0
0.556105,-9.612669,21.059216,256,25,34,35.349056,1.667229,1
0.307705,1.461597,0.432862,195,68,188,27.325187,1.562574,1
0.466902,-4.202116,0.536871,130,104,30,29.014010,0.111754,1
0.399375,0.871363,0.520912,117,119,148,27.840269,1.762346,1
0.164845,-0.177974,0.999073,235,26,128,6.854100,0.181287,1
1.319461,-3.472265,0.282149,69,124,47,22.659597,0.100607,1
0.309354,-0.432113,0.981713,151,23,75,10.127598,0.185351,0
0.670500,-0.661188,0.516805,143,169,105,19.249338,1.936860,0
0.142747,0.309520,0.219768,118,123,124,13.646112,0.769081,0
0.516810,2.842457,0.274597,153,127,166,39.513393,0.381545,1
0.170520,2.350742,0.256177,179,19,175,16.909533,1.626787,0
0.927006,-0.089448,0.512784,125,86,187,4.530033,0.214845,0
42.879051,-4.764339,0.859079,30,181,62,42.375988,1.643839,1
11.121276,-3.475399,0.643167,21,210,54,26.644065,1.696981,0
0.072671,0.122813,0.037370,69,187,159,5.247392,0.100518,0
1.568801,-4.042679,0.477107,93,118,53,28.416824,1.119617,1
1.435800,-4.360576,0.706994,109,130,82,34.886031,0.694269,1
1.827420,-1.227372,0.989855,112,108,165,22.339871,0.062825,1
0.328350,-4.147574,2.783141,259,22,31,22.205165,0.094345,1
1.620055,-2.724639,1.587559,118,56,76,37.616890,0.443015,1
0.290608,-0.425280,1.570970,101,122,153,6.479818,0.827473,0
25.061070,-25.061070,1.200837,8,154,33,45.845808,1.377217,1
0.275804,-0.245579,4.911212,138,73,143,6.585664,0.834598,0
