slope1,slope2,slope3,t1,t2,t3,std_dev,sample_entropy,label
1.916179,-1.551193,0.695876,114,72,75,28.850015,1.356619,1
0.239971,9.358883,0.323953,190,5,172,20.049398,2.00148,1
0.200228,0.356547,0.169796,89,118,203,15.60191,0.562667,0
0.116195,0.41069,0.107914,147,167,159,10.188677,0.814537,0
0.30992,0.67592,0.250071,124,118,224,26.361395,0.662665,0
2.233467,-11.167336,0.619846,78,142,57,43.761009,0.382455,1
0.489776,-4.002171,1.619807,321,83,70,30.549224,1.578145,1
0.927006,-0.089448,0.512784,125,86,187,4.530033,0.214845,0
1.469613,-0.85988,0.349779,149,81,100,26.787725,0.312048,1
1.59344,-2.941736,0.39166,74,119,62,23.105753,0.361013,1
0.191768,14.67024,3.906068,302,16,10,21.483327,1.848787,0
1.454035,-2.511515,0.583877,120,140,85,26.989526,1.593833,1
0.112016,0.958358,0.204812,136,24,71,8.883217,0.754841,0
0.954972,-2.592066,1.084595,156,133,105,32.991329,1.565635,1
0.850824,-6.38118,0.473675,119,106,40,25.882339,0.533761,1
0.425671,-0.81587,1.221559,175,20,69,17.832181,0.132013,1
1.771237,-3.613323,0.52032,76,110,74,31.368637,0.208941,1
0.461862,-2.0091,1.354544,107,76,54,17.333087,1.80257,0
0.348659,5.656026,0.595329,137,156,38,25.409331,1.974081,1
0.069123,0.140686,0.075823,88,96,150,7.455453,0.092756,0
1.481626,-6.599969,0.718077,120,142,25,37.565601,1.711717,1
1.101925,-5.055893,0.440756,95,140,62,27.456959,0.174056,1
0.110095,0.148737,0.123115,53,155,188,10.208282,0.739776,0
1.314146,-4.665217,0.396238,91,114,41,32.111047,0.431612,1
0.225155,0.716068,0.372231,133,132,131,21.619613,1.664448,0
1.965449,-2.501481,0.691643,75,145,132,29.316895,0.236215,1
2.817999,-1.725306,7.37795,79,85,129,24.77838,0.433145,1
0.316358,2.401445,0.482043,145,159,53,22.969077,1.761505,0
0.256735,-20.153703,0.51102,159,152,41,15.939332,1.929339,0
0.150799,0.405053,0.209265,145,159,118,14.533644,0.970262,0
0.362411,65.234009,2.691443,179,36,2,28.241303,1.741927,1
0.223227,0.497968,0.122545,80,127,127,10.569886,0.782415,0
0.066462,2.326182,0.69337,238,24,38,13.585077,0.179547,1
0.741922,2.454051,0.623777,60,150,41,22.784104,1.748649,0
0.192929,0.357179,0.176711,63,121,112,11.761127,0.94354,0
0.61934,-3.096699,0.091627,144,121,47,18.094015,0.068999,1
1.578814,-3.608718,0.714295,92,119,138,27.078758,0.039349,1
0.084699,0.141537,0.121953,102,165,220,12.901488,0.421841,0
1.008349,-2.869916,0.548149,50,136,67,23.850271,0.102725,1
0.524262,-1.815736,0.50739,183,161,63,32.997349,0.072484,1
0.056197,0.074481,0.059343,68,257,266,7.369261,0.144948,0
0.713994,-3.773969,0.559639,176,122,72,29.171831,0.884828,1
0.127113,-0.329337,2.221467,316,30,108,9.8331,0.180455,0
0.706562,4.289839,0.327276,71,180,31,22.193849,1.761718,0
0.204365,0.449603,0.403968,114,97,146,20.10807,1.751145,0
0.37804,0.87992,0.632437,154,133,217,36.675616,1.473067,1
0.434221,2.83521,0.261687,94,174,78,20.103302,1.794401,0
1.421945,-4.265835,0.754854,96,78,46,31.589068,1.121546,1
0.830652,65.621469,0.703091,78,111,2,23.672698,1.953815,0
0.287347,0.946555,0.232222,195,89,274,36.17775,0.371982,1
0.237459,44.404892,1.296009,186,46,3,17.076168,1.878988,0
1.704317,-0.541371,1.976185,224,28,172,26.210489,1.107016,1
2.517232,-1.203894,1.533146,102,92,129,29.125757,0.557951,1
0.239242,0.407069,0.1849,94,198,206,16.130163,1.831247,0
0.940476,4.007246,0.232933,75,146,71,28.519332,0.453099,1
1.711374,-3.178266,0.135226,60,134,33,21.047129,0.066361,1
0.599347,-4.195426,0.847611,152,87,22,21.799414,1.626435,1
0.426642,41.384281,0.316728,96,181,2,15.676845,1.599315,0
61.648258,-0.844497,0.438452,74,150,83,22.168636,1.774292,1
2.639719,-16.078286,0.939229,78,142,39,47.9389,1.29088,1
1.134927,-3.080515,0.482409,104,156,120,22.364904,0.51199,1
0.051788,0.8619,0.312472,219,24,42,6.33407,0.277899,0
0.356951,-4.368396,5.559376,278,21,33,22.22737,0.064263,1
0.29801,1.40727,1.301258,134,49,41,17.951944,1.627456,0
0.179975,0.253513,0.101344,38,151,120,10.93966,0.105809,0
0.12152,0.99241,0.257843,215,43,104,13.37378,0.668645,0
1.351629,-0.1292,2.012321,149,70,197,8.957869,0.128501,0
1.580328,-0.322516,0.180816,59,209,144,9.12874,0.082306,0
0.784482,-3.670253,1.173447,159,99,94,28.648765,0.404084,1
1.437236,-2.874471,0.07391,75,176,42,17.756418,0.112381,1
0.028153,0.422288,0.154166,280,31,121,6.569399,0.172959,0
0.118744,-2.721216,0.81888,287,92,38,22.246003,0.160429,1
1.933831,-0.434125,0.2287,60,242,136,11.788387,0.084137,0
1.172959,-0.252551,11.151738,254,63,267,19.719238,0.785986,0
0.140064,0.264736,0.155018,81,100,159,15.541902,0.086351,1
0.308488,2.944653,0.913446,188,32,61,33.568107,0.100222,1
0.18057,3.198668,0.821541,234,33,57,26.586755,0.068407,1
1.008674,-2.743593,1.075294,186,95,70,35.504476,1.650395,1
1.237987,-4.575171,0.300952,108,132,46,32.042109,0.072954,1
0.91164,-2.559603,0.326678,99,63,31,20.435741,0.458044,1
0.330197,0.431278,0.092972,45,230,182,26.488242,0.062729,0
1.109478,-1.962923,0.359345,36,171,91,11.937131,2.020945,0
0.586059,2.826874,0.101771,65,175,21,11.375328,0.667209,0
1.167281,-5.624173,36.312566,128,73,92,59.163052,0.370647,1
0.987073,-1.271805,0.747156,119,22,64,20.063518,0.085845,1
0.878226,-2.515998,0.208571,143,134,62,25.771424,0.25386,1
0.6704,-2.194036,1.344949,94,149,117,17.634244,1.883327,0
0.097161,0.321936,0.234394,155,96,187,11.763244,1.721589,0
0.132607,1.044278,0.242951,165,34,116,12.971494,0.155742,0
1.511177,-3.337183,0.118487,77,176,44,22.45449,0.056061,1
0.171909,-10.257219,0.43417,182,49,5,9.1859,0.788707,0
0.060003,-0.129076,0.208465,271,25,100,3.39065,0.248302,0
3.442245,-3.059773,3.252809,51,153,170,28.702872,0.053487,1
0.119807,0.493324,0.351298,159,218,68,18.924716,0.219963,1
1.055726,-3.211165,0.444141,97,98,54,24.620593,0.39785,1
1.262554,-4.745462,1.029921,138,165,71,42.035435,1.522959,1
1.018439,-2.136238,0.31113,127,132,45,24.328952,0.606454,1
3.13531,-4.225853,0.596315,54,110,38,28.796557,1.416216,1
0.133366,-0.219477,0.903921,336,18,136,9.222866,0.128207,0
1.383704,-2.728971,0.44099,107,91,62,27.037722,0.508959,1
0.385962,-3.380495,5.128753,283,16,36,23.150189,0.522609,1
1.130992,-6.263954,0.750869,85,77,43,23.536473,1.441446,1
3.062803,-9.800969,0.698866,42,122,30,28.352955,1.50107,1
1.800852,-0.660312,0.660757,41,152,71,19.298684,1.403101,0
0.86498,2.385248,0.233466,58,139,85,25.701013,0.56819,1
1.569689,-2.915137,0.227122,80,173,90,22.134209,0.4669,1
0.644876,-6.287542,0.669404,129,105,38,30.32004,0.401262,1
0.385889,1.094665,0.137479,180,199,267,29.305028,0.492208,1
1.319461,-3.472265,0.282149,69,124,47,22.659597,0.100607,1
0.15303,0.236297,0.108566,37,158,100,7.363565,0.799757,0
0.033472,0.064819,0.056515,118,136,186,4.149906,0.191831,0
0.855871,-4.279357,0.758076,102,116,46,28.848061,1.649371,1
1.158162,-1.772338,2.495771,167,32,88,31.86147,0.100846,1
0.646979,-2.49087,3.229505,194,28,60,21.126126,0.690491,1
0.17248,0.245179,0.139396,51,252,124,12.467924,2.377486,0
1.633491,-4.265228,0.550847,65,128,54,24.368129,1.138143,1
0.805009,3.262406,0.082029,58,130,52,18.425683,0.101282,1
0.398698,0.684253,0.41438,53,142,127,21.853483,1.776492,0
1.545824,-2.451996,2.916646,75,85,88,24.09046,1.443157,1
1.304155,-4.381959,0.466261,109,131,80,33.739667,0.108996,1
0.168446,-0.353044,1.251604,226,19,83,7.259581,0.146649,0
1.620055,-2.724639,1.587559,118,56,76,37.61689,0.443015,1
1.59555,-5.265315,0.837635,86,125,111,32.113294,0.25786,1
1.250812,-4.705437,0.465911,100,75,36,32.547786,0.103694,1
0.32625,-0.428204,0.262715,111,107,69,8.763467,0.864466,0
0.209307,-0.200586,0.173994,47,256,209,4.586967,0.294947,0
0.320811,2.604982,0.679298,178,35,97,37.377658,0.042925,0
1.409818,26.786547,0.229694,36,237,3,19.005558,2.006935,0
0.844798,-0.955592,1.853797,260,21,134,28.646451,0.050182,1
5.778067,-0.673173,5.556526,115,80,173,35.688878,0.086294,0
23.027227,-0.837354,23.956754,114,81,188,37.718896,0.461835,0
1.012786,-0.554621,0.330357,65,191,95,11.361864,1.886457,0
0.351896,-0.330569,0.839584,128,85,124,9.191252,0.804222,0
0.175322,0.201752,0.046198,30,282,218,14.718806,0.102316,0
0.948527,-3.974778,0.887111,109,109,60,25.882903,1.696449,1
28.550259,-0.576773,38.706899,202,67,262,47.485292,0.411792,1
1.487776,-0.743888,0.715433,135,160,92,30.750096,1.645065,0
0.243308,0.462013,0.288379,80,134,123,17.861991,2.010013,0
0.69451,-1.423746,0.615614,183,82,81,22.798556,1.586761,1
0.105424,0.12927,0.16885,57,255,309,13.947736,0.835696,0
1.125593,-7.316354,0.454657,90,125,15,24.528231,1.963929,1
42.879051,-4.764339,0.859079,30,181,62,42.375988,1.643839,1
0.709076,-0.50908,2.156659,134,35,98,21.567583,0.065153,0
0.099942,0.201134,0.061593,81,204,150,8.796537,0.111758,0
0.074458,0.310783,0.165583,219,77,222,8.698114,1.919593,0
0.307066,0.753473,0.286147,173,123,290,38.322107,0.380147,0
